station_name,station_code
JA広島病院前,008170
JR三山木,006636
JR五位堂,007782
JR俊徳道,007376
JR小倉,006339
JR河内永和,007344
JR淡路,006872
JR総持寺,006498
JR藤森,006199
JR野江,007041
JR長瀬,007422
JR難波,007321
Jヴィレッジ,001571
YRP野比,005320
あいの里公園,000171
あいの里教育大,000175
あおば通,001175
あかおか,009203
あかぢ,008873
あきた白神,000646
あき亀山,007798
あき総合病院前,009242
あさぎり,009909
あざみ野,004314
あしかがフラワーパーク,002405
あすなろう四日市,006144
あつみ温泉,001042
あぶくま,001295
あまや,001500
あやめ公園,001227
あわくら温泉,005399
あわら湯のまち,002519
いこいの広場,006688
いこいの村,009644
いずえ,007634
いずみ中央,004773
いずみ野,004745
いづろ通,010039
いのつき,009424
いよ立花,008784
いりなか,005548
いわき,001657
いわて沼宮内,000733
うきは,009371
うらがわら,001608
えちご押上ひすい海岸,001663
えびの,009938
えびの上江,009939
えびの飯野,009941
おかどめ幸福,009911
おごと温泉,005708
おもちゃのまち,002205
おもろまち,010131
おゆみ野,004365
おりはた,001243
お台場海浜公園,004091
お花茶屋,003274
かしわ台,004626
かぶと山,004208
かみのやま温泉,001218
かるが浜,008314
くいな橋,006157
くぬぎ山,003143
くびき,001590
くりこま高原,001011
けやき台,009286
こどもの国,004341
こどもの国,006687
さいたま新都心,002934
さがみ野,004611
さぎの宮,006808
さくらんぼ東根,001089
さくら夙川,006880
ささしまライブ,005490
さっぽろ,000228
さつき野,001340
ししぶ,008879
しんざ,001619
すえたちばな,009392
すすきの,000251
すずかけ台,004466
すずらんの里,002863
せきてらす前,004573
せんげん台,002856
たのうら御立岬公園,009888
たびら平戸口,009340
たまプラーザ,004296
だいどう豊里,006860
ちはら台,004423
つきのわ,002710
つきみ野,004486
つくし野,004441
つくば,002655
つつじヶ丘,003933
てだこ浦西,010125
とうきょうスカイツリー,003524
ときわ台,003223
ときわ台,006295
なにわ橋,007132
のいち,009112
のの岳,001057
はなみずき通,005424
はりまや橋,009117
はりま勝原,006588
はるひ野,004141
ひぐち,002337
ひこね芹川,005201
ひたち野うしく,002746
ひばりが丘,000289
ひばりヶ丘,003242
ひめじ別所,006605
ひらんだ,005480
ひろせ野鳥の森,002581
びわ湖浜大津,005954
ふかや花園,002601
ふじみ野,002987
ふるさと公園,001570
ふれあい生力,008893
ほうらい丘,005773
ほくほく大島,001615
ほしみ,000183
ほっとゆだ,000889
まつだい,001623
まつもと町屋,002662
みさき公園,008219
みずほ台,003025
みつわ台,004041
みどりの,002724
みどり中央,007968
みどり中街,007972
みどり口,007978
みどり台,004115
みどり湖,002636
みなとじま,007289
みなとみらい,004656
みなと元町,007170
みなみ子宝温泉,004100
みなみ寄居,002640
みの,008398
みのり台,003116
みらい平,002765
めがね橋,009831
めじろ台,004019
もたて山,005775
やぐま台,007270
やながわ希望の森公園前,001322
ゆだ錦秋湖,000906
ゆだ高原,000902
ゆめが丘,004797
ゆめみ野,002878
よしかわ,009193
りんくうタウン,007996
りんくう常滑,006362
アイランドセンター,007158
アイランド北口,007126
アスモ前,006934
アプトいちしろ,005477
インテック本社前,001917
ウェスパ椿山,000589
ウッディタウン中央,006291
オレンジタウン,008261
オークスカナルパークホテル富山前,001916
ガーラ湯沢,001712
グランドプラザ前,001966
グランド通,009138
ケーブル八幡宮口,006352
ケーブル八幡宮山上,006358
ケーブル八瀬,005778
ケーブル坂本,005767
ケーブル山上,006256
ケーブル延暦寺,005780
ケーブル比叡,005788
コウノトリの郷,004355
コスモスクエア,007464
サッポロビール庭園,000343
サンドーム西,002853
ジヤトコ前,005505
スクリーン,005272
スペースワールド,008697
スポーツセンター,004023
スポーツ公園,002883
センター北,004353
センター南,004380
ソシオ流通センター,002594
テクノさかき,002223
テレコムセンター,004144
デンテツターミナルビル前,009120
トマム,000249
トヨタモビリティ富山Gスクエア五福前（五福末広町）,001947
トレードセンター前,007473
トロッコ亀岡,005942
トロッコ保津峡,005893
トロッコ嵐山,005923
トロッコ嵯峨,005915
ドーム前,007283
ドーム前千代崎,007280
ナゴヤドーム前矢田,005392
ナゴヤドーム前矢田,005389
ニセコ,000352
ノーフォーク広場,008623
ハウステンボス,009583
ハーバーランド,007238
ハーモニーホール,002740
バスセンター前,000230
ファミリー公園前,007612
フェリーターミナル,007552
フジテック前,005131
フラワータウン,006347
フルーツパーク,006479
ベイサイド･ステーション,004098
ベル前,002718
ポートタウン東,007507
ポートタウン西,007506
ポートターミナル,007203
マキノ,004649
マリンパーク,007181
メディカルセンター,009843
モノレール浜松町,003946
モレラ岐阜,004664
ユニバーサルシティ,007300
ユーカリが丘,003452
リゾートゲートウェイ･ステーション,004063
ロイズタウン,000167
ロープウェイ入口,000286
一の渡,000801
一の鳥居,006364
一ツ木,005938
一ノ割,002810
一ノ関,000975
一之江,003724
一乗寺,005847
一乗谷,002743
一分,007251
一勝地,009905
一宮,008284
一志,007401
一戸,000686
一日市場,002470
一本松,008934
一本松,002848
一条橋,009076
一橋学園,003455
一武,009917
一畑口,004637
一社,005470
一貴山,009212
一身田,006784
七ツ屋,002083
七ヶ岳登山口,001628
七久保,003956
七井,002186
七光台,002803
七和,005769
七塚,006454
七宝,005370
七尾,001669
七戸十和田,000561
七日町,001460
七条,006056
七軒茶屋,007901
七道,007626
七里,002854
七里ヶ浜,005099
七重浜,000438
七隈,009157
七飯,000431
万ヶ塚,009982
万博記念公園,002694
万博記念公園,006601
万場,003031
万富,006805
